goals	lda_topics_goals	topic0_contrib_lda_topics_goals	topic1_contrib_lda_topics_goals	topic2_contrib_lda_topics_goals	topic3_contrib_lda_topics_goals	topic4_contrib_lda_topics_goals	topic5_contrib_lda_topics_goals	topic6_contrib_lda_topics_goals	topic7_contrib_lda_topics_goals	topic8_contrib_lda_topics_goals
family 	8	0.04121186	0.03603756	0.03483988	0.06017895	0.03764316	0.05395134	0.05962999	0.05545366	0.6210536
Connecting with loved ones	2	0.01952586	0.01707431	0.80582273	0.02851232	0.01783503	0.02556172	0.02824375	0.02627351	0.03115074
Take dance classes	0	0.8088372	0.01707452	0.01650706	0.02851266	0.01783526	0.02556423	0.0282441	0.02627383	0.03115112
See friends post	8	0.01545844	0.01351755	0.01306831	0.02257484	0.0141198	0.02023931	0.02236584	0.02080046	0.8578555
keep up with friends	6	0.01952564	0.01707413	0.01650668	0.028512	0.01783484	0.02556144	0.81755275	0.02627322	0.0311594
like posts	3	0.01952576	0.01707414	0.01650669	0.81780183	0.01783485	0.02556146	0.02824346	0.02627324	0.03117857
For entertainment 	4	0.04121177	0.03603748	0.0348398	0.06017882	0.59296775	0.05395122	0.05961198	0.05545354	0.06574756
share experiences	3	0.02649766	0.0231708	0.02240074	0.7527388	0.02420312	0.03468866	0.03835206	0.0356546	0.0422936
Stories	2	0.04121176	0.03603747	0.5901022	0.0601788	0.03764306	0.05395922	0.05961196	0.05545352	0.06580197
check stories	5	0.01952582	0.28018412	0.01650686	0.02851226	0.017835	0.5517439	0.0282437	0.02627346	0.03117482
way to kill time 	6	0.01545908	0.01351777	0.01306852	0.02257326	0.01412003	0.02023727	0.8555612	0.02080079	0.02466211
Post on my story	8	0.01952571	0.01707413	0.01650671	0.0285154	0.01783485	0.02556361	0.02824346	0.02627324	0.82046294
distraction 	8	0.0412125	0.03603812	0.03484042	0.06017989	0.03764374	0.05395218	0.05961304	0.05545452	0.6210656
Stay updated 	7	0.01952569	0.01707417	0.01650672	0.02851208	0.01783488	0.02556236	0.02824396	0.81558627	0.03115394
chatting 	6	0.04121198	0.0360377	0.03483999	0.06017914	0.03764328	0.05395151	0.6149347	0.05545384	0.06574791
Be perfect	4	0.04121936	0.03604412	0.03484622	0.06018991	0.5928928	0.05396116	0.05962296	0.05546376	0.06575968
Inspiration	0	0.59652525	0.03603748	0.03483981	0.06017884	0.03764308	0.05395124	0.059612	0.05546475	0.06574758
I want to travel	3	0.02649824	0.02317128	0.0224012	0.39572012	0.02420365	0.3917189	0.03832916	0.03565537	0.04230206
